gr.id,smp.id,Repetition,Year,State,Type,JDctr,det.id,distance,vis.id,size
386,783,1,2007,TN,CONTROL,10,NA,NA,2007_1,NA
386,783,1,2008,TN,CONTROL,-3,NA,NA,2008_1,NA
386,784,1,2006,TN,TREAT,5,NA,NA,2006_1,NA
386,784,1,2007,TN,TREAT,10,NA,NA,2007_1,NA
386,784,1,2008,TN,TREAT,-3,NA,NA,2008_1,NA
387,785,1,2006,TN,CONTROL,5,NA,NA,2006_1,NA
387,785,1,2007,TN,CONTROL,10,1001,107,2007_1,1
387,785,1,2008,TN,CONTROL,9,1002,240,2008_1,1
387,785,1,2008,TN,CONTROL,9,1003,273,2008_1,1
387,786,1,2006,TN,TREAT,5,NA,NA,2006_1,NA
387,786,1,2007,TN,TREAT,10,NA,NA,2007_1,NA
387,786,1,2008,TN,TREAT,9,NA,NA,2008_1,NA
388,787,1,2006,TN,CONTROL,4,NA,NA,2006_1,NA
388,787,1,2007,TN,CONTROL,9,NA,NA,2007_1,NA
388,787,1,2008,TN,CONTROL,8,NA,NA,2008_1,NA
388,788,1,2006,TN,TREAT,4,NA,NA,2006_1,NA
388,788,1,2007,TN,TREAT,9,NA,NA,2007_1,NA
388,788,1,2008,TN,TREAT,8,NA,NA,2008_1,NA
389,789,1,2006,TN,CONTROL,-10,NA,NA,2006_1,NA
389,789,1,2008,TN,CONTROL,13,NA,NA,2008_1,NA
389,790,1,2006,TN,TREAT,-10,1004,316,2006_1,1
389,790,1,2008,TN,TREAT,13,1005,320,2008_1,1
390,791,1,2006,TN,CONTROL,-1,NA,NA,2006_1,NA
390,792,1,2006,TN,TREAT,-1,1006,199,2006_1,1
391,793,1,2006,TN,CONTROL,2,NA,NA,2006_1,NA
391,793,1,2007,TN,CONTROL,5,NA,NA,2007_1,NA
391,794,1,2006,TN,TREAT,2,1007,134,2006_1,1
391,794,1,2007,TN,TREAT,5,NA,NA,2007_1,NA
392,795,1,2006,TN,CONTROL,8,NA,NA,2006_1,NA
392,795,1,2007,TN,CONTROL,-10,NA,NA,2007_1,NA
392,796,1,2006,TN,TREAT,8,NA,NA,2006_1,NA
392,796,1,2007,TN,TREAT,-10,1008,271,2007_1,1
392,796,1,2008,TN,TREAT,-10,1009,271,2008_1,1
393,797,1,2006,TN,CONTROL,-7,NA,NA,2006_1,NA
393,797,1,2007,TN,CONTROL,-18,NA,NA,2007_1,NA
393,797,1,2008,TN,CONTROL,7,NA,NA,2008_1,NA
393,798,1,2006,TN,TREAT,-7,NA,NA,2006_1,NA
393,798,1,2007,TN,TREAT,-18,1010,63,2007_1,1
393,798,1,2008,TN,TREAT,7,NA,NA,2008_1,NA
394,799,1,2006,TN,CONTROL,10,NA,NA,2006_1,NA
394,799,1,2007,TN,CONTROL,-18,NA,NA,2007_1,NA
394,800,1,2006,TN,TREAT,10,NA,NA,2006_1,NA
394,800,1,2007,TN,TREAT,-18,NA,NA,2007_1,NA
395,801,1,2006,TN,CONTROL,13,NA,NA,2006_1,NA
395,802,1,2006,TN,TREAT,13,1011,185,2006_1,1
396,803,1,2006,TN,CONTROL,-16,1012,221,2006_1,1
396,803,1,2006,TN,CONTROL,-16,1013,245,2006_1,1
396,803,1,2007,TN,CONTROL,8,1014,233,2007_1,1
396,803,1,2008,TN,CONTROL,-1,NA,NA,2008_1,NA
396,804,1,2006,TN,TREAT,-16,1015,209,2006_1,1
396,804,1,2006,TN,TREAT,-16,1016,337,2006_1,1
396,804,1,2007,TN,TREAT,8,NA,NA,2007_1,NA
396,804,1,2008,TN,TREAT,-1,NA,NA,2008_1,NA
397,805,1,2006,TN,CONTROL,-6,NA,NA,2006_1,NA
397,805,1,2007,TN,CONTROL,7,NA,NA,2007_1,NA
397,805,1,2008,TN,CONTROL,0,NA,NA,2008_1,NA
397,806,1,2006,TN,TREAT,-6,NA,NA,2006_1,NA
397,806,1,2007,TN,TREAT,7,1017,362,2007_1,1
397,806,1,2008,TN,TREAT,0,NA,NA,2008_1,NA
398,807,1,2006,TN,CONTROL,13,NA,NA,2006_1,NA
398,807,1,2007,TN,CONTROL,-4,NA,NA,2007_1,NA
398,807,1,2008,TN,CONTROL,10,1018,251,2008_1,1
398,808,1,2006,TN,TREAT,13,NA,NA,2006_1,NA
398,808,1,2007,TN,TREAT,-4,NA,NA,2007_1,NA
398,808,1,2008,TN,TREAT,10,1019,385,2008_1,1
399,809,1,2006,TN,CONTROL,9,NA,NA,2006_1,NA
399,809,1,2007,TN,CONTROL,1,NA,NA,2007_1,NA
399,809,1,2008,TN,CONTROL,-3,NA,NA,2008_1,NA
399,810,1,2006,TN,TREAT,9,NA,NA,2006_1,NA
399,810,1,2007,TN,TREAT,1,NA,NA,2007_1,NA
399,810,1,2008,TN,TREAT,-3,NA,NA,2008_1,NA
400,811,1,2006,TN,CONTROL,14,1020,361,2006_1,1
400,812,1,2006,TN,TREAT,14,NA,NA,2006_1,NA
400,812,1,2006,TN,TREAT,14,1021,140,2006_1,1
401,813,1,2006,TN,CONTROL,-7,1022,207,2006_1,1
401,813,1,2006,TN,CONTROL,-7,1023,253,2006_1,1
401,813,1,2007,TN,CONTROL,-9,NA,NA,2007_1,NA
401,813,1,2008,TN,CONTROL,-20,NA,NA,2008_1,NA
401,814,1,2006,TN,TREAT,-7,NA,NA,2006_1,NA
401,814,1,2007,TN,TREAT,-9,NA,NA,2007_1,NA
401,814,1,2008,TN,TREAT,-20,NA,NA,2008_1,NA
